Distancia(m);PL_DR0
10;70,299999997
20;76,21
30;88,19
40;85,633333331
50;85,31
60;92,87
70;102,82
80;99,54
90;100,33
100;108,12
110;107,94
120;109,1
130;116,81
140;112,07
150;115,17
160;110,54
170;116,81
180;109,4
190;113,1
200;126,033333332
210;123,58
220;123,22
230;118,47
240;117,76
250;117,45
260;127,68
270;123,25
280;124,12
290;122,7
300;117,922222227
310;118,14
320;123,08
330;130,99
340;126,83
350;133,9
360;125
370;131,65
380;133,3444444
390;130,044444467
400;135,26
410;135,2444444
420;135,14
430;134,92
440;134,43
450;134,86
460;134,822222233
470;134,611111089
480;135,44
490;134,211111144
500;135,93
510;136,15
520;134,6
530;134,88
540;134,83
550;127,69
560;128,96
570;134,5111111
580;131,35
590;128,58888886
600;132,025
610;128,8375
620;134,4875
630;127,8
640;135,74
650;135,75
660;131,999999978
670;132,833333311
680;132,85
690;129,17142856
700;127,575
710;127,27777773
720;127,88888893
730;127,45
740;130,683333333
750;127,95714284
760;126,74999997
770;128,46
780;127,48
790;126,65
800;
