#Distancia(m);RSSI_DR0(dBm);STDEV_DR0;INT;RSSI_DR3(dBm);STDEV_DR3;INT
10;-59,9;1,449137675;1,0366506435;-62;1,333333333;0,9538092077
20;-63;2,788866755;1,995035093;-64,4;0,843274043;0,6032419103
30;-68,8888888889;4,284986711;3,0652948357;-76,1;7,32499526;5,2399859454
40;-60,2222222222;2,538591035;1,8159986283;-65;1,825741858;1,3060570466
50;-83,2;4,589843861;3,2833765033;-82,3;5,831904587;4,1718932213
60;-75,3;3,713339318;2,6563629253;-76,2;2,299758441;1,6451480828
70;-76,7777777778;1,201850425;0,8597520015;-81,9;3,314949304;2,3713718776
80;-71,8;1,135292424;0,8121392758;-74,6;2,221110833;1,5888869733
90;-79,4;4,247875286;3,0387469215;-83,5;2,758824226;1,9735439624
100;-87,8888888889;3,370624736;2,4111996823;-88,3;4,785394446;3,4232649647
110;-92,1;5,586690533;3,9964776543;-94,3;4,448470399;3,1822440209
120;-85,7;6,566751268;4,6975708694;-87,1;3,178049716;2,2734398119
130;-82,5;4,143267632;2,9639151138;-82,7;2,359378449;1,6877976673
140;-73,3;2,584139659;1,8485821511;-73,5;2,223610677;1,590675254
150;-79,3333333333;4,123105626;2,9494920836;-79;0,942809042;0,6744449592
160;-79,2;3,293090409;2,3557349661;-81;3,858612301;2,760284957
170;-78;1,763834207;1,261770981;-80,5;1,927248223;1,3786703258
180;-79,5555555556;2,00693243;1,4356729736;-81,4444444444;2,697735676;1,9298438463
190;-80,1;3,956710194;2,8304599622;-83,125;3,044315546;2,1777721498
200;-78,9;2,330951165;1,6674620134;-80,3;1,494434118;1,0690537668
210;-89,5;2,173067468;1,5545188204;-90,2;1,398411798;1,0003635371
220;-93,7;3,198958164;2,2883968145;-96,4;4,671426144;3,3417369528
230;-92,9;5,195083146;3,7163386056;-96,7;4,029061098;2,882216681
240;-102,9;6,967384333;4,9841664992;-100,7;3,560586718;2,547090298
250;-96,3;2,907843798;2,0801461424;-96,5;1,649915823;1,1802786783
260;-94,8;3,425395354;2,4503802222;-98;3,055050463;2,1854514468
270;-95;5,31245915;3,8003043406;-95,8;4,848825746;3,4686409832
280;-93,3;3,368151488;2,4094304273;-99;2,494438258;1,7844136344
290;-93,8;5,473166867;3,9152677158;-97,7;5,25039681;3,7559076171
300;-107,2222222222;5,426273532;3,8817222448;-107,2;4,732863826;3,3856868229
310;-102,375;4,373213921;3,1284087797;-103,5;3,374742789;2,41414556
320;-99,9;3,314949304;2,3713718776;-104,7;4,243949942;3,0359388996
330;-99,5;6,654154926;4,7600956797;-102,2;5,452828012;3,9007181755
340;-110,5;4,377975179;3,1318147785;-110,1;2,233582076;1,5978083631
350;-103,5;4,222953153;3,0209187016;-106,8;4,131182236;2,9552697423
360;-109,5555555556;5,027701043;3,5966006623;-112,7;4,595891885;3,287702999
370;-101,1;1,969207398;1,4086861114;-104,8;3,190262964;2,2821766432
380;-112,1;4,357624225;3,117256583;-111;4,396968653;3,1454018913
390;-112,2;4,131182236;2,9552697423;-113,9;3,784471195;2,7072476048
400;-103,7;2,162817093;1,5471861438;-104,6666666667;2,645751311;1,8926564718
